word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.003130899975076318,0.006953699979931116,1.002611199975945,,,,,,,,,,,,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
RED,red,C,r,0,0,0,r,1,5.079072799999267,None,0,0,0,0,1.0378646000172012,,,,,1.026417399989441,1.0378646000172012,1.5027297000051476,1.5027297000051476,1.5027297000051476,6.0014824999962,6.5948858999763615,r,1,5.079072799999267,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
BLUE,red,I,r,1,1,0,b,0,1.360897800012026,None,0,1,1,2,6.616674299992155,,,,,6.607863100012764,6.616674299992155,7.101588500023354,7.101588500023354,7.101588500023354,,8.468908899987582,b,0,1.360897800012026,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.5798327000229619,None,0,2,2,3,8.487070399976801,,,,,8.469844100007322,8.487070399976801,8.967971300007775,8.967971300007775,8.967971300007775,,9.551720199990086,b,1,0.5798327000229619,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
RED,blue,I,b,3,3,0,r,0,0.5492094000219367,None,0,3,3,1,9.570794500003103,,,,,9.555613300006371,9.570794500003103,10.050551699998323,10.050551699998323,10.050551699998323,,10.60149219998857,r,0,0.5492094000219367,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
RED,blue,I,b,4,0,1,r,0,0.6587654000031762,None,1,0,4,1,10.62013900000602,,,,,10.602305300009903,10.62013900000602,11.10090100002708,11.10090100002708,11.10090100002708,,11.768363800016232,r,0,0.6587654000031762,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
BLUE,blue,C,b,5,1,1,b,1,0.46733080002013594,None,1,1,5,3,11.786268000025302,,,,,11.772165899979882,11.786268000025302,12.26754750002874,12.26754750002874,12.26754750002874,,12.75142370001413,b,1,0.46733080002013594,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
BLUE,red,I,r,6,2,1,r,1,0.6754517999943346,None,1,2,6,2,12.7701434000046,,,,,12.752289600030053,12.7701434000046,13.250826600007713,13.250826600007713,13.250826600007713,,13.935327199986205,r,1,0.6754517999943346,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
RED,red,C,r,7,3,1,r,1,0.6572827000054531,None,1,3,7,0,13.95321900001727,,,,,13.93931759998668,13.95321900001727,14.43424520001281,14.43424520001281,14.43424520001281,,15.101774399983697,r,1,0.6572827000054531,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
BLUE,red,I,r,8,0,2,r,1,1.0923706999747083,None,2,0,8,2,15.120000599999912,,,,,15.105749599984847,15.120000599999912,15.60050240001874,15.60050240001874,15.60050240001874,,16.700872000015806,r,1,1.0923706999747083,None,,,,,141332,001,2025-08-24_14h32.53.254,Stroop Task,,2025.1.1,60.00204007092619,2025-08-24 14h32.59.966195 +0530,
