word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0031305000302381814,0.008628699986729771,1.0078728999942541,,,,,,,,,,,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
RED,red,C,r,0,0,0,r,1,3.3365336999995634,None,0,0,0,0,1.0760998000041582,,,,,1.0658054000232369,1.0760998000041582,1.5081304999766871,1.5081304999766871,1.5081304999766871,4.957165600033477,r,1,3.3365336999995634,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
BLUE,red,I,r,1,1,0,b,0,0.47233540000161156,None,0,1,1,2,4.972591200028546,,,,,4.964900100021623,4.972591200028546,5.457850700011477,5.457850700011477,5.457850700011477,5.9408981000306085,b,0,0.47233540000161156,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.2803453999804333,None,0,2,2,3,5.960001200030092,,,,,5.941744900017511,5.960001200030092,6.4404280000017025,6.4404280000017025,6.4404280000017025,6.724194800015539,b,1,0.2803453999804333,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
RED,blue,I,b,3,3,0,r,0,0.7270592999993823,None,0,3,3,1,6.743442200007848,,,,,6.728352600010112,6.743442200007848,7.224454800016247,7.224454800016247,7.224454800016247,7.957525499979965,r,0,0.7270592999993823,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
RED,blue,I,b,4,0,1,r,0,0.5201687999651767,None,1,0,4,1,7.976863200019579,,,,,7.958399299997836,7.976863200019579,8.456660500029102,8.456660500029102,8.456660500029102,8.990858700009994,r,0,0.5201687999651767,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
BLUE,blue,C,b,5,1,1,b,1,1.2225532999727875,None,1,1,5,3,9.009907100000419,,,,,8.994989500031807,9.009907100000419,9.490430200006813,9.490430200006813,9.490430200006813,10.7237873999984,b,1,1.2225532999727875,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
BLUE,red,I,r,6,2,1,r,1,0.5698336999630556,None,1,2,6,2,10.742908300017007,,,,,10.724635899998248,10.742908300017007,11.223921400029212,11.223921400029212,11.223921400029212,11.80718160001561,r,1,0.5698336999630556,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
RED,red,C,r,7,3,1,r,1,0.4478408999857493,None,1,3,7,0,11.826267900003586,,,,,11.811586200026795,11.826267900003586,12.30635379999876,12.30635379999876,12.30635379999876,12.756941600004211,r,1,0.4478408999857493,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.3736134000355378,None,2,0,8,3,12.775968500005547,,,,,12.760939400002826,12.775968500005547,13.256121999991592,13.256121999991592,13.256121999991592,13.640530100034084,b,1,0.3736134000355378,None,,,,,423594,001,2025-08-24_14h22.22.851,Stroop Task,,2025.1.1,60.18607127347125,2025-08-24 14h30.34.695557 +0530,
