trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_you.started,text_2.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
1.9928885,2.0090144,2.5169012,2.5169012,2.5169012,2.8263873,3.0331111,right,10,1,1,0.4973773,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
3.0333916,3.0417914,3.543394,3.543394,3.543394,3.8417073,4.0101136,right,8,1,1,0.4564819,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
4.010436,4.0253111,4.525249,4.525249,4.525249,4.8252222,5.0263226,left,-6,1,1,0.490395,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
5.0266444,5.042098,5.5426339,5.5426339,5.5426339,5.8421842,5.9756539,left,-4,1,1,0.4284298,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
5.9759921,5.9923024,6.4921977,6.4755975,6.4755975,6.775298,6.9255993,right,2,0,0,0.4407126,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
6.9258691,6.9410184,7.4420139,7.4252587,7.4252587,7.724546,7.8262343,left,-3,1,1,0.3868652,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
7.826483,7.8416794,8.3417826,8.3417826,8.3417826,8.6412223,8.8089463,left,-3,1,1,0.461713,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
8.809225,8.8247746,9.3252865,9.3084153,9.3084153,9.6079278,9.8764854,left,-3,1,1,0.5650955,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
9.8767469,9.8921159,10.3919022,10.3919022,10.3919022,10.6913429,10.8920149,left,-2,1,1,0.4975414,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
10.8922698,10.9086055,11.408235,11.3918565,11.3918565,11.6908237,11.8427459,left,-2,1,1,0.4437423,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
11.8430047,11.8581471,12.3580822,12.342143,12.342143,12.6408772,12.9594065,right,2,1,1,0.6042747,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
12.9596839,12.9748544,13.49168,13.4743459,13.4743459,13.7743914,13.9759603,left,-1,0,0,0.4876818,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
13.9762432,13.9914907,14.4916919,14.4749826,14.4749826,14.773773,14.9929175,right,1.5,1,1,0.5115327,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
14.993169,15.0079402,15.5084026,15.5084026,15.5084026,15.8240078,16.0088653,right,1.5,1,1,0.4989147,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
16.009195,16.0245327,16.5244008,16.5244008,16.5244008,16.8243034,17.0588154,right,1.5,1,1,0.5285055,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
17.0590828,17.0749154,17.5734489,17.5734489,17.5734489,17.874384,18.7411989,right,1,0,0,1.1512751,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
18.7414918,18.755728,19.2572289,19.2411449,19.2411449,19.5403475,19.8755693,left,-1.5,1,1,0.6334561,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
19.8758473,19.8906886,20.3905286,20.3905286,20.3905286,20.6903313,21.0913715,right,1.5,1,1,0.6898817,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
21.0916411,21.107287,21.6075655,21.5900713,21.5900713,21.8903913,22.2078748,right,1.5,1,1,0.6007327,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
22.2081417,22.2238107,22.7236394,22.7074661,22.7074661,23.0070947,23.5739773,right,1,0,0,0.864329,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
23.574266,23.5898483,24.0897247,24.0897247,24.0897247,24.3890932,24.956624,right,1.5,1,1,0.8590353,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
24.9569304,24.9728614,25.4725571,25.4559037,25.4559037,25.7553806,26.0573175,right,1.5,1,1,0.5931546,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
26.0575831,26.0736611,26.5731938,26.5731938,26.5731938,26.8728626,27.2733673,left,-1.5,0,0,0.691612,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
27.273642,27.2889985,27.7892796,27.7725549,27.7725549,28.0721681,28.2403806,right,2,1,1,0.4669442,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
28.240693,28.2560752,28.7553876,28.7553876,28.7553876,29.0556757,29.3732895,right,2,1,1,0.6149837,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
29.3735496,29.3884782,29.8891501,29.8731874,29.8731874,30.1729777,30.4901157,right,2,1,1,0.6086895,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
30.4903733,30.5058801,31.0063562,30.9894467,30.9894467,31.289472,31.6233766,left,-1.5,1,1,0.6280918,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
31.6236365,31.6386911,32.1392617,32.1392617,32.1392617,32.4394729,32.7569505,right,1.5,1,1,0.6125604,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
32.7572119,32.7723278,33.2720936,33.2720936,33.2720936,33.5724387,34.0398052,left,-1.5,1,1,0.7568549,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
34.040062,34.055755,34.555812,34.5382151,34.5382151,34.8381735,35.2723483,left,-1,1,1,0.7214479,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
35.2726,35.28898,35.7894346,35.7715115,35.7715115,36.0718921,36.4222536,left,-1,1,1,0.6384659,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
36.4225208,36.437945,36.9383841,36.9214673,36.9214673,37.2213291,37.6397083,right,1,0,0,0.7132495,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
37.6399817,37.6553867,38.15533,38.15533,38.15533,38.4545699,38.8720113,right,1.5,1,1,0.7002392,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
