word,colour,stimulus_condition,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,Fixation.started,Fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you.started,text_3.started,text_3.stopped,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.001645700000153738,0.0038287000006675953,1.0313984000003984,0.9981306999998196,,,,,,,,,,,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
BLUE,red,I,r,0,0,0,r,1,1.046620900000562,None,0,0,0,2,1.0313984000003984,,,,,,1.023640700001124,1.0313984000003984,1.4976095000001806,1.4976095000001806,1.4976095000001806,2.556642200001079,r,1,1.046620900000562,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
RED,red,C,r,1,1,0,r,1,0.5310043999998015,None,0,1,1,0,2.570619900001475,,,,,,2.564335700000811,2.570619900001475,3.064188700000159,3.064188700000159,3.064188700000159,3.5978235000002314,r,1,0.5310043999998015,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
RED,blue,I,b,2,2,0,b,1,0.7729467999997723,None,0,2,2,1,3.6167209000013827,,,,,,3.59863790000054,3.6167209000013827,4.0972360000014305,4.0972360000014305,4.0972360000014305,4.8810375000011845,b,1,0.7729467999997723,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
BLUE,blue,C,b,3,3,0,b,1,0.45473909999964235,None,0,3,3,3,4.899574799999755,,,,,,4.885111800000232,4.899574799999755,5.380449700000099,5.380449700000099,5.380449700000099,5.847721400001319,b,1,0.45473909999964235,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
BLUE,blue,C,b,4,0,1,b,1,0.5395198000005621,None,1,0,4,3,5.866160600000512,,,,,,5.8485307000009925,5.866160600000512,6.346865700001217,6.346865700001217,6.346865700001217,6.897634000000835,b,1,0.5395198000005621,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
RED,red,C,r,5,1,1,r,1,0.569490500000029,None,1,1,5,0,6.915735200000199,,,,,,6.901480300000912,6.915735200000199,7.397032000000763,7.397032000000763,7.397032000000763,7.980601400000523,r,1,0.569490500000029,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
BLUE,red,I,r,6,2,1,r,1,0.8076337999991665,None,1,2,6,2,7.9988014999998995,,,,,,7.984450500000094,7.9988014999998995,8.480332099999941,8.480332099999941,8.480332099999941,9.297165699999823,r,1,0.8076337999991665,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
RED,blue,I,b,7,3,1,b,1,0.5716164999994362,None,1,3,7,1,9.315538000000743,,,,,,9.300881000001027,9.315538000000743,9.796855600001436,9.796855600001436,9.796855600001436,10.380927300000621,b,1,0.5716164999994362,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
BLUE,blue,C,b,8,0,2,b,1,0.373963800000638,None,2,0,8,3,10.398755400001392,,,,,,10.384753000000273,10.398755400001392,10.880274700000882,10.880274700000882,10.880274700000882,11.264591200000723,b,1,0.373963800000638,None,,,,,925692,001,2025-08-25_16h34.56.728,Stroop Task,,2025.1.1,59.947725582824006,2025-08-25 16h35.00.559194 +0530,
