pos	corr_resp	key_resp.rt			
					
-50	x	0.7502066		Sequential mean	0.522166201
150	v	0.9343052		Random conditions mean	0.574049872
50	c	0.7854133			
-150	z	0.7062549			
-50	x	0.6623726			
150	v	0.6919945			
50	c	0.7558758			
-150	z	0.4671986			
-50	x	0.6733311			
150	v	0.5989462			
50	c	0.6801857			
-150	z	0.3878573			
-50	x	0.5969885			
150	v	0.5733371			
50	c	0.5341368			
-150	z	0.5082748			
-50	x	0.5160245			
150	v	0.5605155			
50	c	0.5624821			
-150	z	0.562214			
-50	x	0.575407			
150	v	0.3271131			
50	c	0.608781			
-150	z	0.4332999			
-50	x	0.4846709			
150	v	0.5325322			
50	c	0.5749866			
-150	z	0.4223335			
-50	x	0.528222			
150	v	0.3769607			
50	c	0.4840505			
-150	z	0.5363318			
-50	x	0.4960836			
150	v	0.4180651			
50	c	0.580495			
-150	z	0.5977568			
-50	x	0.4501039			
150	v	0.4648074			
50	c	0.5399908			
-150	z	0.4542592			
-50	x	0.3790088			
150	v	0.4460418			
50	c	0.8962759			
-150	z	0.4461664			
-50	x	0.4285104			
150	v	0.4752571			
50	c	0.8118403			
-150	z	0.4826755			
-50	x	0.3042927			
150	v	0.4981507			
50	c	0.3439874			
-150	z	0.4250259			
-50	x	0.3005535			
150	v	1.14646			
50	c	0.4919431			
-150	z	0.3943031			
-50	x	0.2454297			
150	v	0.5510046			
50	c	0.7064981			
-150	z	0.5005707			
-50	x	0.4140716			
150	v	0.5946848			
50	c	0.5304245			
-150	z	0.5512248			
-50	x	0.4372083			
150	v	0.5459695			
50	c	0.7109495			
-150	z	0.6191172			
-50	x	0.6225001			
150	v	0.475383			
50	c	0.597202			
-150	z	0.5178164			
-50	x	0.4464424			
150	v	0.5965937			
50	c	0.6430201			
-150	z	0.5282579			
-50	x	0.4400751			
150	v	0.5217638			
50	c	0.5589548			
-150	z	0.4507543			
-50	x	0.4962474			
150	v	0.4814631			
50	c	0.6044538			
-150	z	0.4645458			
-50	x	0.3237243			
150	v	0.5001504			
50	c	0.5461425			
-150	z	0.3804504			
-50	x	0.4125209			
150	v	0.4122816			
50	c	0.4751589			
-150	z	0.4319999			
-50	x	0.4152099			
150	v	0.432287			
50	c	0.3634829			
-150	z	0.2502061			
-50	x	0.4348111			
150	v	0.3654227			
50	c	0.4452354			
-150	z	0.5102504			
					
150	v	0.3737128			
150	v	0.4014645			
-150	z	0.5373832			
-150	z	0.5084365			
50	c	0.7933062			
150	v	0.4818044			
-50	x	0.6302016			
-50	x	0.4120715			
-50	x	0.4749818			
50	c	0.6795811			
50	c	0.5006352			
-150	z	0.7271939			
150	v	0.8834464			
50	c	0.8417945			
150	v	1.3973044			
150	v	0.7124375			
-150	z	0.557658			
150	v	0.5229585			
150	v	0.4823238			
-50	x	0.6449741			
50	c	0.6450897			
-50	x	0.6980543			
150	v	0.5444248			
150	v	0.5014725			
50	c	0.6354855			
-150	z	0.4509569			
150	v	0.5813223			
-150	z	0.4349269			
50	c	0.5328252			
150	v	0.5793608			
-150	z	0.376539			
50	c	0.5455326			
50	c	0.6461701			
50	c	0.5417899			
150	v	0.4361085			
50	c	0.6984654			
-50	x	0.7790304			
-50	x	0.3588905			
50	c	0.581601			
50	c	0.437767			
50	c	0.6341499			
-150	z	0.5510419			
150	v	0.4761047			
150	v	1.3095166			
-150	z	0.503303			
-150	z	0.4163205			
-50	x	0.7562695			
-50	x	0.3983315			
-50	x	0.3988891			
50	c	0.6642426			
-150	z	0.7052937			
50	c	0.6131722			
-150	z	0.5442913			
-150	z	0.4063949			
-50	x	0.5994302			
-50	x	0.4847597			
-150	z	0.6848952			
150	v	0.5635977			
-50	x	0.4253917			
-150	z	0.676255			
150	v	0.825491			
-150	z	0.4444037			
-50	x	0.6060643			
-150	z	0.5964628			
-150	z	0.4860167			
-150	z	0.4597837			
-50	x	0.4823861			
-150	z	0.5307687			
-50	x	0.3495848			
150	v	0.4871494			
50	c	0.7667896			
50	c	0.4907689			
150	v	0.5158533			
-150	z	0.4595325			
-50	x	0.4459682			
-150	z	0.5881474			
-50	x	0.3829039			
-150	z	0.4364078			
-50	x	0.5482375			
150	v	0.4702006			
150	v	0.6320418			
-50	x	0.7304494			
-50	x	0.3633483			
-50	x	0.4819997			
50	c	0.5944735			
150	v	0.5406766			
-50	x	0.6355134			
50	c	0.556775			
150	v	0.5098598			
-50	x	0.5337272			
50	c	0.7034011			
50	c	0.5290364			
-50	x	0.605006			
150	v	0.4971395			
-150	z	0.6034913			
50	c	0.5584365			
50	c	0.5589232			
150	v	0.4893767			
-150	z	0.9449539			
50	c	0.5823029			
