Characters,Corr_ans,answer,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Condition_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,Thank_you_.started,text_2.started,text_2.stopped,Thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.013495200022589415,0.030499600048642606,5.012824900040869,,,,,,,,,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
rig,0,left,0,0,0,right,0,2.0853160999831744,None,0,0,0,72,5.061239400005434,,,,,5.055377200013027,5.061239400005434,5.061239400005434,7.1706481000292115,right,0,2.0853160999831744,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
mouse,1,right,1,1,0,right,1,1.4128709000069648,None,0,1,1,22,7.194505500025116,,,,,7.174686200043652,7.194505500025116,7.194505500025116,8.612179600051604,right,1,1.4128709000069648,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
pat,1,right,2,2,0,right,1,0.9330760999582708,None,0,2,2,4,8.62920230004238,,,,,8.615460500004701,8.62920230004238,8.62920230004238,9.57956840004772,right,1,0.9330760999582708,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
gled,0,left,3,3,0,left,1,1.6582119999802671,None,0,3,3,92,9.595711500034668,,,,,9.582891800033394,9.595711500034668,9.595711500034668,11.262371700024232,left,1,1.6582119999802671,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
lun,0,left,4,4,0,left,1,0.9945238999789581,None,0,4,4,73,11.27885940001579,,,,,11.265716500056442,11.27885940001579,11.27885940001579,12.27859390003141,left,1,0.9945238999789581,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
nsh,0,left,5,5,0,left,1,0.6293019999866374,None,0,5,5,50,12.295198200037703,,,,,12.281880800030194,12.295198200037703,12.295198200037703,12.92907130002277,left,1,0.6293019999866374,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
table,1,right,6,6,0,right,1,0.7907176000298932,None,0,6,6,27,12.945260200009216,,,,,12.932770600018557,12.945260200009216,12.945260200009216,13.745083800051361,right,1,0.7907176000298932,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
flower,1,right,7,7,0,right,1,0.7730154000455514,None,0,7,7,34,13.761572800052818,,,,,13.749044700001832,13.761572800052818,13.761572800052818,14.545268400048371,right,1,0.7730154000455514,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
ship,1,right,8,8,0,right,1,0.7039918000227772,None,0,8,8,47,14.561979000049178,,,,,14.54862390004564,14.561979000049178,14.561979000049178,15.278452900005504,right,1,0.7039918000227772,None,,,,,3,001,2025-11-18_11h40.12.670,Lexical Decision Task,,2025.1.1,60.02372137363341,2025-11-18 11h40.18.702440 +0530,
