mouse.time	mouse.clicked_name	num_distr			
					
"2.2408657000632957, 3.1573010000865906"	"[None, 'target']"	5			
1.4343689	['target']	10		mean:	1.947838854
"1.4030454000458121, 2.453449200023897"	"[None, 'target']"	5			
2.6598197	['target']	5			
1.6670586	['target']	5			
1.3739059	['target']	10			
1.6858258	['target']	10			
1.1817841	['target']	10			
1.5843608	['target']	5			
1.3669054	['target']	5			
1.4135859	['target']	5			
1.2307726	['target']	5			
"1.8146612999262288, 2.8314444000134245"	"[None, 'target']"	10			
"1.3935484000248834, 2.2436485999496654"	"[None, 'target']"	5			
1.4438142	['target']	5			
1.8824798	['target']	5			
1.6161079	['target']	5			
"1.3343166999984533, 2.28335539996624"	"[None, 'target']"	5			
1.6010012	['target']	10			
1.3077663	['target']	5			
2.0490279	['target']	5			
1.4431848	['target']	5			
1.7860169	['target']	5			
1.5965891	['target']	5			
1.6318125	['target']	10			
2.139022	['target']	10			
2.1592362	['target']	10			
1.8646659	['target']	5			
2.230149	['target']	10			
"1.3579011999536306, 2.240785399917513"	"[None, 'target']"	5			
2.4571128	['target']	5			
1.105899	['target']	5			
2.1494681	['target']	10			
1.3723621	['target']	5			
2.0908976	['target']	5			
2.1335269	['target']	10			
1.7825254	['target']	5			
3.0968975	['target']	5			
1.4295071	['target']	5			
1.6889798	['target']	10			
2.9230835	['target']	10			
1.3236784	['target']	10			
2.4776978	['target']	10			
"1.7223455000203103, 2.5719741999637336"	"[None, 'target']"	10			
2.0655902	['target']	5			
1.8326957	['target']	10			
2.2741808	['target']	10			
2.4365535	['target']	10			
1.6683294	['target']	5			
1.9969179	['target']	10			
2.3228072	['target']	10			
1.4813614	['target']	10			
2.0862243	['target']	10			
"2.993784600053914, 4.093301700078882"	"[None, 'target']"	10			
1.66951	['target']	5			
1.7814011	['target']	10			
1.4178302	['target']	5			
1.6332315	['target']	10			
1.3376267	['target']	10			
1.8349713	['target']	10			
1.5493863	['target']	5			
1.4470625	['target']	10			
2.0669063	['target']	5			
1.3833834	['target']	5			
1.6302035	['target']	5			
1.7740604	['target']	10			
1.3915596	['target']	10			
1.7143393	['target']	10			
1.9404383	['target']	10			
2.5480842	['target']	10			
2.735658	['target']	5			
1.4325352	['target']	5			
2.4678532	['target']	5			
3.641208	['target']	10			
1.70951	['target']	10			
1.8512471	['target']	5			
1.4830892	['target']	5			
1.5680458	['target']	5			
1.7927558	['target']	10			
1.6412164	['target']	10			
1.423772	['target']	5			
1.5137656	['target']	10			
1.4012479	['target']	5			
2.4631112	['target']	5			
1.5327906	['target']	10			
2.2614629	['target']	5			
1.4684081	['target']	10			
"1.332409100024961, 2.4311738000251353"	"[None, 'target']"	5			
"1.9518523999722674, 3.067088900017552"	"[None, 'target']"	10			
3.0474898	['target']	10			
"2.6368735999567434, 3.8196865000063553"	"[None, 'target']"	5			
2.4322599	['target']	10			
"1.3073596000904217, 2.3226807001046836"	"[None, 'target']"	5			
1.5496398	['target']	5			
1.5781997	['target']	5			
3.9469831	['target']	10			
1.6929513	['target']	10			
"1.5692617999156937, 2.5518711999757215"	"[None, 'target']"	10			
1.3186178	['target']	10			
1.7499512	['target']	5			
1.3664742	['target']	5			
1.5732107	['target']	5			
2.0083796	['target']	10			
1.8274764	['target']	10			
3.4006687	['target']	10			
1.7605953	['target']	10			
1.3595155	['target']	5			
1.6525783	['target']	5			
1.4173242	['target']	5			
1.1412237	['target']	10			
"1.9511873999144882, 2.851302700000815"	"[None, 'target']"	5			
1.4942021	['target']	5			
1.7281759	['target']	5			
"1.0026037999195978, 2.051579699967988"	"[None, 'target']"	5			
1.4868156	['target']	5			
"2.332290899939835, 3.749506099964492"	"[None, 'target']"	5			
13.8797951	['target']	10			
1.8490117	['target']	10			
2.0421289	['target']	10			
2.7231326	['target']	10			
3.0669962	['target']	10			
2.2697915	['target']	10			
2.689533	['target']	5			
3.1930215	['target']	10			
1.750383	['target']	5			
"1.588224699953571, 2.7868226999416947"	"[None, 'target']"	5			
1.5354924	['target']	10			
1.6539264	['target']	5			
2.6287288	['target']	10			
1.8516116	['target']	5			
2.0624981	['target']	10			
1.9321081	['target']	10			
1.3855947	['target']	5			
1.8494032	['target']	5			
1.5982389	['target']	5			
1.6846905	['target']	5			
"1.3570643999846652, 2.223559300065972"	"[None, 'target']"	5			
1.1833673	['target']	5			
2.4655685	['target']	5			
1.4177028	['target']	10			
1.7194644	['target']	5			
1.46923	['target']	5			
2.1554441	['target']	5			
2.0967483	['target']	10			
1.6669893	['target']	5			
1.5655646	['target']	10			
1.7040832	['target']	5			
1.399969	['target']	10			
2.7421201	['target']	10			
1.8578279	['target']	10			
2.4169927	['target']	5			
1.6154337	['target']	5			
1.8227783	['target']	10			
2.643301	['target']	10			
3.3198261	['target']	10			
1.4838115	['target']	10			
1.3003903	['target']	5			
"1.766780599951744, 2.8154896999476478"	"[None, 'target']"	5			
1.3193338	['target']	5			
1.9326323	['target']	5			
1.5369658	['target']	10			
1.2194952	['target']	5			
1.6518325	['target']	5			
2.2165084	['target']	10			
1.6179192	['target']	10			
1.4358888	['target']	10			
1.9511276	['target']	5			
"1.9187270000111312, 2.818284000037238"	"[None, 'target']"	5			
"1.3177777000237256, 2.58271099999547"	"[None, 'target']"	5			
1.4221121	['target']	10			
1.3002271	['target']	5			
1.7679054	['target']	5			
"1.361792100011371, 2.2260483000427485"	"[None, 'target']"	5			
"2.72440840001218, 3.656868200050667"	"[None, 'target']"	10			
1.6239083	['target']	10			
3.4559894	['target']	10			
1.9559671	['target']	5			
"1.7826176000526175, 2.7156195000279695"	"[None, 'target']"	10			
1.6824732	['target']	5			
1.8631421	['target']	5			
1.4657037	['target']	5			
2.160272	['target']	5			
2.4031744	['target']	10			
"1.5888164000352845, 2.52182060002815"	"[None, 'target']"	10			
2.3567204	['target']	10			
1.3950819	['target']	5			
2.6896852	['target']	5			
1.5418765	['target']	10			
1.9902489	['target']	10			
1.9118944	['target']	10			
2.0687146	['target']	5			
1.5832694	['target']	5			
1.5350167	['target']	5			
1.3512508	['target']	5			
1.620636	['target']	5			
1.6924363	['target']	10			
1.9360177	['target']	5			
2.2066772	['target']	10			
2.6883582	['target']	10			
3.0426753	['target']	10			
