study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Refrence,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
book,0,0,0,1,4.723092499945778,,,,,,,,,,,,0,0,0,0,,,,,0.048423900036141276,,0.027873000013642013,0.048423900036141276,0.048423900036141276,4.766444800014142,1,4.723092499945778,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
Pastry,1,1,0,2.046666666666667,3.7101885000010952,,,,,,,,,,,,0,1,1,9,,,,,4.797921099991072,,4.774783700006083,4.797921099991072,4.797921099991072,8.5011974000372,2.046666666666667,3.7101885000010952,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
phone,2,2,0,2.046666666666667,1.6224422000232153,,,,,,,,,,,,0,2,2,2,,,,,8.531340799992904,,8.510550200007856,8.531340799992904,8.531340799992904,10.149897199997213,2.046666666666667,1.6224422000232153,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
Keys,3,3,0,2.046666666666667,1.0255937000038102,,,,,,,,,,,,0,3,3,13,,,,,10.18067820003489,,10.156741500017233,10.18067820003489,10.18067820003489,11.199024100031238,2.046666666666667,1.0255937000038102,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
board,4,4,0,2.046666666666667,1.112338999984786,,,,,,,,,,,,0,4,4,4,,,,,11.214366900036111,,11.204396800021641,11.214366900036111,11.214366900036111,12.33312940003816,2.046666666666667,1.112338999984786,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
cushion,5,5,0,4.96,2.261542099993676,,,,,,,,,,,,0,5,5,1,,,,,12.36314480000874,,12.33741259999806,12.36314480000874,12.36314480000874,14.61564760003239,4.96,2.261542099993676,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
mouse,6,6,0,1.9133333333333333,1.7495742999599315,,,,,,,,,,,,0,6,6,8,,,,,14.630541699996684,,14.618296100001317,14.630541699996684,14.630541699996684,16.383168400032446,1.9133333333333333,1.7495742999599315,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
Police,7,7,0,1.9133333333333333,1.7304990999982692,,,,,,,,,,,,0,7,7,12,,,,,16.397590600012336,,16.38525260001188,16.397590600012336,16.397590600012336,18.13172880001366,1.9133333333333333,1.7304990999982692,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
Poster,8,8,0,1.9133333333333333,1.3492501000291668,,,,,,,,,,,,0,8,8,14,,,,,18.146503900003154,,18.13447550003184,18.146503900003154,18.146503900003154,19.498311100003775,1.9133333333333333,1.3492501000291668,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
marble,9,9,0,5,2.195909500005655,,,,,,,,,,,,0,9,9,3,,,,,19.512828100007027,,19.50177919998532,19.512828100007027,19.512828100007027,21.71404980000807,5,2.195909500005655,,,,,,,,,,,,,,,,,,,1,001,2025-10-13_16h12.29.919,Word_priming_5.0,,2025.1.1,60.17430089019183,2025-10-13 16h12.44.415478 +0530,
