study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Refrence,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Keys,0,0,0,1,2.3570757000125013,,,,,,,,,,,,0,0,0,13,,,,,0.03835030004847795,,0.01699280005414039,0.03835030004847795,0.03835030004847795,2.390149700047914,1,2.3570757000125013,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
book,1,1,0,1,0.14544829999795184,,,,,,,,,,,,0,1,1,0,,,,,2.405121500021778,,2.39443330001086,2.405121500021778,2.405121500021778,2.5566985000041313,1,0.14544829999795184,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
laptop,2,2,0,1,0.1805863999761641,,,,,,,,,,,,0,2,2,5,,,,,2.5723511000396684,,2.56072090001544,2.5723511000396684,2.5723511000396684,2.7566326000378467,1,0.1805863999761641,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
Cruise,3,3,0,1,0.16235810000216588,,,,,,,,,,,,0,3,3,11,,,,,2.7719342000200413,,2.7614241000264883,2.7719342000200413,2.7719342000200413,2.9401960000395775,1,0.16235810000216588,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
cushion,4,4,0,1,0.16342330002225935,,,,,,,,,,,,0,4,4,1,,,,,2.955705900036264,,2.9437048000399955,2.955705900036264,2.955705900036264,3.1233647000044584,1,0.16342330002225935,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
T-shirt,5,5,0,1,0.14713950001168996,,,,,,,,,,,,0,5,5,7,,,,,3.1392279000137933,,3.127072200004477,3.1392279000137933,3.1392279000137933,3.289922000025399,1,0.14713950001168996,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
Pastry,6,6,0,1,0.18009179999353364,,,,,,,,,,,,0,6,6,9,,,,,3.3061201000236906,,3.2934509000042453,3.3061201000236906,3.3061201000236906,3.4898807000136003,1,0.18009179999353364,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
board,7,7,0,1,0.16396269999677315,,,,,,,,,,,,0,7,7,4,,,,,3.505639000039082,,3.493104100052733,3.505639000039082,3.505639000039082,3.6739538000547327,1,0.16396269999677315,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
mouse,8,8,0,1,0.14828869997290894,,,,,,,,,,,,0,8,8,8,,,,,3.689075700007379,,3.675762900034897,3.689075700007379,3.689075700007379,3.8396441000513732,1,0.14828869997290894,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
chart,9,9,0,1,0.19912249996559694,,,,,,,,,,,,0,9,9,6,,,,,3.856058600009419,,3.8416912000393495,3.856058600009419,3.856058600009419,4.056611900043208,1,0.19912249996559694,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
phone,10,10,0,1,0.19835020002210513,,,,,,,,,,,,0,10,10,2,,,,,4.0724379000021145,,4.058821400045417,4.0724379000021145,4.0724379000021145,4.273304900038056,1,0.19835020002210513,,,,,,,,,,,,,,,4,001,2025-10-14_09h41.16.549,Word_priming_5.0,,2025.1.1,59.73244641921555,2025-10-14 09h41.48.503829 +0530,
